card,group,scene,policy,upgraded,mode,control,n,before_valid,after_valid,before_dwin_pp,after_dwin_pp,after_ci95_lo_pp,after_ci95_hi_pp,before_dhp,after_dhp,before_dturns,after_dturns,before_plays,after_plays,before_ready_plays,after_ready_plays,after_seen_turns,after_playable_turns,after_empty_plays,after_unused_qi,before_aborts,after_aborts,final_source
hengsaoqianjun,primary,act1-bosses,greedy,1,add2,skip,300,True,True,-23.3333,-5.0,-14.3151,4.4798,-4.36,-1.8,-0.71333,-0.85333,1057,1055,3,3,1417,1215,0,2,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,greedy,1,replace,changshanzhaozilong,300,True,True,-14.3333,-2.6667,-6.3745,1.129,-2.04333,-0.42333,0.09333,0.03333,650,687,4,2,834,719,0,2,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,tactical,0,add1,skip,300,True,True,-5.0,-1.3333,-9.6433,7.0206,-3.27,-2.14667,0.00667,-0.16333,243,325,85,90,965,897,0,10,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,tactical,0,add2,skip,300,True,True,-10.6667,-7.6667,-15.7892,0.7084,-6.33,-4.40333,-0.10333,-0.46667,398,504,136,139,1678,1554,0,22,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,tactical,0,replace,changshanzhaozilong,300,True,True,-2.6667,1.0,-3.0518,5.0189,-1.09333,-0.01,0.2,0.02,243,325,85,90,965,897,0,10,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,tactical,1,add1,skip,300,True,True,-1.3333,1.3333,-6.6054,9.2281,-2.21,-0.46667,-0.13333,-0.51667,306,473,102,129,933,877,0,12,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,tactical,1,add2,skip,300,True,True,-6.3333,0,-8.2357,8.2357,-4.60667,-2.36667,-0.43333,-0.89333,495,683,164,180,1613,1497,0,14,0,0,lowhp-hengsao
hengsaoqianjun,primary,act1-bosses,tactical,1,replace,changshanzhaozilong,300,True,True,-2.0,1.3333,-3.0802,5.7029,-1.77333,-0.13667,0.35,-0.02,306,473,102,129,933,877,0,12,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,greedy,0,add1,skip,300,True,True,-1.0,0.3333,-3.1739,3.8296,-3.25,-2.35333,0.05667,-0.18667,312,426,4,1,493,461,0,0,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,greedy,0,add2,skip,300,True,True,-4.0,-2.0,-5.7998,1.8656,-5.12667,-3.47,0.11667,-0.27333,482,646,14,4,860,796,0,2,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,greedy,0,replace,changshanzhaozilong,300,True,True,-1.0,0,-1.647,1.647,-1.66333,-0.75333,0.34667,0.09333,312,426,4,1,493,461,0,0,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,greedy,1,add1,skip,300,True,True,-0.3333,1.0,-2.1654,4.1324,-2.28667,-0.06,-0.11333,-0.46,418,419,2,1,465,436,0,0,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,greedy,1,add2,skip,300,True,True,-2.3333,0,-3.0212,3.0212,-3.95,1.21667,-0.17333,-0.68,642,604,5,4,780,720,0,2,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,greedy,1,replace,changshanzhaozilong,300,True,True,-1.0,0,-2.2058,2.2058,-2.99667,-0.91,0.39667,0.05667,418,419,2,1,465,436,0,0,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,tactical,0,add1,skip,300,True,True,-0.3333,0,-1.647,1.647,-1.57,-1.51,-0.16333,-0.37667,186,279,60,51,483,477,0,3,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,tactical,0,add2,skip,300,True,True,-0.3333,0,-1.647,1.647,-3.74,-2.47667,-0.18333,-0.51333,316,409,109,96,804,793,0,7,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,tactical,0,replace,changshanzhaozilong,300,True,True,-0.3333,0,-1.647,1.647,-0.00667,0.02333,0.27,0.05667,186,279,60,51,483,477,0,3,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,tactical,1,add1,skip,300,True,True,0,0,-1.647,1.647,-1.53333,-0.59,-0.34667,-0.65333,256,328,76,49,454,449,0,5,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,tactical,1,add2,skip,300,True,True,0,0,-1.647,1.647,-2.94667,-1.16667,-0.43667,-0.78333,393,467,120,71,758,747,0,6,0,0,lowhp-hengsao
hengsaoqianjun,primary,anger-summon,tactical,1,replace,changshanzhaozilong,300,True,True,0,0,-1.647,1.647,-1.40667,-0.49333,0.37333,0.04667,256,328,76,49,454,449,0,5,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,greedy,0,add1,skip,300,True,True,-7.6667,-1.3333,-8.0039,5.3811,-5.40667,-2.24333,0.00333,-0.17667,508,596,95,50,682,596,0,54,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,greedy,0,add2,skip,300,True,True,-17.3333,-8.0,-15.946,0.2095,-7.56667,-4.45333,0.01333,-0.26667,840,954,151,101,1239,1071,0,80,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,greedy,0,replace,changshanzhaozilong,300,True,True,-9.0,-2.6667,-6.0477,0.8022,-5.25,-2.08667,0.24667,0.06667,508,596,95,50,682,596,0,54,0,0,lowhp-hengsao
hengsaoqianjun,primary,combo-3qi,greedy,1,add1,skip,300,True,True,-3.3333,2.3333,-4.0172,8.607,-3.14667,1.08333,-0.15333,-0.39667,598,575,52,49,655,575,0,53,0,0,lowhp-hengsao
